Kecamatan,Desa,Pos Pengungsi,total_pengungsi,jumlah_kk,laki_laki,perempuan,balita_bawah_1th,balita_1_5th,anak_6_12th,anak_laki,anak_perempuan,remaja,remaja_laki,remaja_perempuan,dewasa,dewasa_laki,dewasa_perempuan,lansia,lansia_laki,lansia_perempuan,ibu_hamil,ibu_menyusui,disabilitas,rasio_perempuan,rasio_anak,rasio_lansia,rasio_ibu_hamil_menyusui,rasio_disabilitas,rata_anggota_kk
Cugenang,Gasol,Pasir Angin,38,12,18,19,0,5,3,2,2,3,3,0,24,12,11,1,0,1,0,0,1,0.5,0.2105,0.0263,0.0,0.0263,3.17
Cugenang,Gasol,pos cikadu 1 rt 1 rw 3,117,36,66,51,4,11,12,19,7,5,9,4,31,54,23,7,13,6,0,6,0,0.4359,0.2308,0.0598,0.0513,0.0,3.25
Cugenang,Gasol,Posko 1 Cikadu 1,147,44,78,69,4,12,11,5,6,15,7,8,104,50,54,17,9,8,2,5,0,0.4694,0.1837,0.1156,0.0476,0.0,3.34
Cugenang,Gasol,posko 2,1127,326,627,500,25,69,130,65,65,107,53,54,622,342,280,174,114,60,9,23,4,0.4437,0.1988,0.1544,0.0284,0.0035,3.46
Cugenang,Gasol,posko 3,55,7,46,9,1,3,1,2,1,37,36,1,5,10,5,2,0,2,0,2,0,0.1636,0.0909,0.0364,0.0364,0.0,7.86
Cugenang,Gasol,posko 4,77,20,39,38,0,10,17,6,11,11,2,9,31,16,15,7,3,4,1,5,0,0.4935,0.3506,0.0909,0.0779,0.0,3.85
Cugenang,Gasol,posko bu eli,68,23,36,32,4,6,10,6,4,6,4,2,38,20,18,4,1,3,0,4,3,0.4706,0.2941,0.0588,0.0588,0.0441,2.96
Cugenang,Gasol,posko kp munjul 2,500,150,195,305,17,33,210,100,110,25,150,100,225,125,100,4,2,2,6,8,0,0.61,0.52,0.008,0.028,0.0,3.33
Cugenang,Gasol,posko kp panahegan,120,30,46,74,1,15,15,11,5,8,4,4,60,25,35,4,4,0,2,1,0,0.6167,0.2583,0.0333,0.025,0.0,4.0
Cugenang,Gasol,Rt.03.01 desa gasol,307,82,153,154,13,43,46,25,21,46,25,21,191,92,9961,34,17,17,2,13,0,0.5016,0.3322,0.1107,0.0489,0.0,3.74
Cugenang,Mangunkerta,Pos pengungsian rw 4,200,60,0,0,0,6,16,10,6,20,10,10,0,0,0,6,6,4,0,2,1,0.0,0.11,0.03,0.01,0.005,3.33
Cugenang,Mangunkerta,Pos pengungsian rw 6,1201,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.11
Cugenang,Mangunkerta,Posko Cariu,1127,270,397,301,0,179,129,0,0,0,0,0,0,0,0,0,89,0,4,127,1,0.2671,0.2733,0.0,0.1162,0.0009,4.17
Cugenang,Nyalindung,posko 2,56,15,30,26,4,4,10,2,8,6,3,3,53,29,24,3,1,2,0,4,0,0.4643,0.3214,0.0536,0.0714,0.0,3.73
Cugenang,Padaluyu,BARUJAMA 3,133,37,78,45,1,7,21,11,10,6,3,3,25,35,37,3,2,32,1,5,2,0.3383,0.218,0.0226,0.0451,0.015,3.59
Cugenang,Padaluyu,BARUJAMAS,164,125,78,78,4,16,46,28,18,12,2,10,154,76,78,12,2,10,0,12,0,0.4756,0.4024,0.0732,0.0732,0.0,1.31
Cugenang,Padaluyu,BARUJAMAS 2,100,26,43,58,1,17,9,5,4,7,3,4,49,17,32,7,4,3,0,2,0,0.58,0.27,0.07,0.02,0.0,3.85
Cugenang,Padaluyu,BARUJAYA 3,16,5,7,6,0,1,0,0,0,3,2,1,12,7,5,1,1,0,0,1,0,0.375,0.0625,0.0625,0.0625,0.0,3.2
Cugenang,Padaluyu,BARUJAYA2,50,17,25,25,1,4,4,2,2,4,3,1,32,15,17,6,3,3,1,4,0,0.5,0.18,0.12,0.1,0.0,2.94
Cugenang,Sarampad,posko 1 cisarua,205,60,93,112,3,15,0,29,0,15,0,0,109,0,0,15,0,0,0,3,0,0.5463,0.0878,0.0732,0.0146,0.0,3.42
Cugenang,Sarampad,posko 3 cisarua,107,33,70,37,4,4,16,0,0,0,0,0,76,0,0,2,0,0,0,4,0,0.3458,0.2243,0.0187,0.0374,0.0,3.24
Cugenang,Sarampad,posko cisarua2,159,62,84,75,2,14,19,16,3,17,6,11,90,44,46,17,9,8,1,2,1,0.4717,0.2201,0.1069,0.0189,0.0063,2.56
Cugenang,Sukajaya,Pos puncakmanis RT 02 RW 11,37,21,23,14,1,2,5,5,2,0,0,0,25,14,11,2,1,1,0,0,0,0.3784,0.2162,0.0541,0.0,0.0,1.76
Cugenang,Sukajaya,Puncak manis,170,40,22,148,1,10,7,3,4,5,4,1,155,14,140,6,1,5,3,3,0,0.8706,0.1059,0.0353,0.0353,0.0,4.25
Cugenang,Sukamanah,Desa Sukamanah,4375,1274,2248,2127,84,350,324,142,182,336,148,188,3439,1806,1633,278,140,138,32,77,3,0.4862,0.1733,0.0635,0.0249,0.0007,3.43
Cugenang,Sukamanah,Kp. Goledag Rt 02/05,583,186,258,325,10,34,39,15,24,38,18,20,410,179,231,52,24,28,9,33,0,0.5575,0.1424,0.0892,0.072,0.0,3.13
Cugenang,Sukamanah,Kp. Kedung Girang Kidul,319,93,165,154,5,25,22,10,12,23,11,12,214,117,97,30,14,16,4,16,1,0.4828,0.163,0.094,0.0627,0.0031,3.43
Cugenang,Sukamanah,Kp. Kedung Hilir RT 03 RW 03,1328,394,684,644,20,90,47,24,23,117,52,65,981,515,466,73,35,38,5,36,0,0.4849,0.1182,0.055,0.0309,0.0,3.37
Cugenang,Sukamanah,Kp. Lembursawah 02/04,804,237,450,354,25,62,50,23,27,65,30,35,542,333,209,60,25,35,11,53,0,0.4403,0.1704,0.0746,0.0796,0.0,3.39
Cugenang,Sukamanah,Posko RT 02 RW 07,450,138,220,230,4,48,30,12,18,25,12,13,140,143,143,60,28,32,4,20,1,0.5111,0.1822,0.1333,0.0533,0.0022,3.26
Cugenang,Sukamanah,rw 06,1411,416,350,661,47,132,87,42,45,139,65,74,932,514,418,74,36,38,23,41,1,0.4685,0.1885,0.0524,0.0454,0.0007,3.39
Cugenang,Sukamulya,Posko Kades,1988,7952,2502,5450,110,403,890,0,0,967,0,0,4892,0,0,245,0,0,262,183,0,2.7414,0.7057,0.1232,0.2238,0.0,0.25
Cugenang,Talaga,Koleberes 2,125,65,0,0,3,8,13,0,0,10,0,0,82,0,0,3,0,0,1,11,0,0.0,0.192,0.024,0.096,0.0,1.92
Cugenang,Talaga,Koleberes 3,203,64,0,0,0,16,31,0,0,14,0,0,105,0,0,23,0,0,0,0,0,0.0,0.2315,0.1133,0.0,0.0,3.17
Cugenang,Talaga,Lapang sepakbola koleberes,300,81,0,0,35,0,0,0,0,0,0,0,0,0,0,20,0,0,2,20,0,0.0,0.1167,0.0667,0.0733,0.0,3.7
Cugenang,Talaga,Pos 1 yayasab,93,31,0,0,4,17,13,10,3,0,0,0,78,0,0,5,0,0,1,0,0,0.0,0.3656,0.0538,0.0108,0.0,3.0
Cugenang,Talaga,Posko 04/03 kp angkrong,355,125,187,168,0,42,58,0,0,63,0,0,100,0,0,24,0,0,5,0,2,0.4732,0.2817,0.0676,0.0141,0.0056,2.84
Cugenang,Talaga,Posko 2 angkrong,102,30,62,40,0,8,16,7,1,0,0,0,48,0,0,7,0,0,1,0,0,0.3922,0.2353,0.0686,0.0098,0.0,3.4
Cugenang,Talaga,Posko 5 angkrong,34,10,16,18,0,3,3,0,0,3,0,0,21,0,0,4,2,2,0,0,0,0.5294,0.1765,0.1176,0.0,0.0,3.4
Cugenang,Wangunjaya,Harempoy,230,72,120,110,10,5,30,15,15,16,9,7,148,74,74,18,14,4,2,8,0,0.4783,0.1957,0.0783,0.0435,0.0,3.19
Cugenang,Wangunjaya,Kdu dedr,320,78,160,160,18,25,75,30,45,29,15,14,63,57,66,37,12,25,14,45,1,0.5,0.3688,0.1156,0.1844,0.0031,4.1
Cugenang,Wangunjaya,Kp. Buni Pasir 2 RT.01/06,16,5,7,9,1,1,1,0,0,1,0,1,11,6,5,4,1,0,0,1,0,0.5625,0.1875,0.25,0.0625,0.0,3.2
Cugenang,Wangunjaya,Kp. Buni Pasir RT.01 RW.06,25,6,14,11,2,1,0,0,0,3,3,0,12,8,4,3,1,2,0,3,0,0.44,0.12,0.12,0.12,0.0,4.17
Cugenang,Wangunjaya,Mawar,22,7,10,12,1,4,5,4,1,1,0,1,8,4,4,3,12,0,0,1,0,0.5455,0.4545,0.1364,0.0455,0.0,3.14
Cugenang,Wangunjaya,pos 2,58,19,30,28,0,3,5,4,1,10,6,4,33,16,17,5,3,2,0,0,0,0.4828,0.1379,0.0862,0.0,0.0,3.05
Cugenang,Wangunjaya,pos cipicung,500,83,200,300,5,25,55,30,25,30,15,15,370,140,230,15,5,10,2,4,0,0.6,0.17,0.03,0.012,0.0,6.02
Cugenang,Wangunjaya,pos pasir mangu,160,40,60,100,2,6,18,8,10,16,10,6,106,42,84,6,2,4,0,3,0,0.625,0.1625,0.0375,0.0188,0.0,4.0
Cugenang,Wangunjaya,posko 1 kp pasir gombong rt 04/05,19,8,0,0,0,1,1,1,0,5,3,2,12,0,0,1,0,1,0,0,0,0.0,0.1053,0.0526,0.0,0.0,2.38
Cugenang,Wangunjaya,"posko 1 PAWENANG 01,02",162,43,84,78,6,0,18,13,5,12,8,4,87,41,46,5,3,2,2,6,0,0.4815,0.1481,0.0309,0.0494,0.0,3.77
Cugenang,Wangunjaya,posko 3,59,17,27,32,0,7,9,4,5,8,5,3,35,13,22,3,2,1,0,1,0,0.5424,0.2712,0.0508,0.0169,0.0,3.47
Cugenang,Wangunjaya,posko 6,103,33,49,64,1,13,13,0,13,8,4,4,61,32,29,8,5,3,0,4,0,0.6214,0.2621,0.0777,0.0388,0.0,3.12
Cugenang,Wangunjaya,posko 7,22,7,12,10,3,3,3,1,2,3,2,1,9,0,0,0,0,0,0,0,0,0.4545,0.4091,0.0,0.0,0.0,3.14
Cugenang,Wangunjaya,Posko pasir mincang,417,119,0,0,0,25,0,0,0,0,0,0,0,0,0,15,0,0,5,0,1,0.0,0.06,0.036,0.012,0.0024,3.5
Cugenang,Wangunjaya,Posko rasid kulon,169,57,85,84,0,18,24,12,12,12,4,8,9,6,3,16,8,8,1,12,0,0.497,0.2485,0.0947,0.0769,0.0,2.96
Cugenang,Wangunjaya,"Posko RT 01 RW 01 Kp,Sesepan Desa Wangunjaya",105,33,32,73,6,14,9,4,5,12,8,4,65,20,43,10,3,7,1,6,0,0.6952,0.2762,0.0952,0.0667,0.0,3.18
